question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall
What does faithfulness measure in Lab 24?,Offline RAG baseline: faithfulness measures a core quality signal for RAG evaluation.,"[""Lab 24 covers faithfulness as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",faithfulness measures a core quality signal for RAG evaluation.,simple,0.895,0.862,0.77,0.795
What does answer relevancy measure in Lab 24?,Offline RAG baseline: answer relevancy measures a core quality signal for RAG evaluation.,"[""Lab 24 covers answer relevancy as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",answer relevancy measures a core quality signal for RAG evaluation.,simple,0.88,0.844,0.75,0.77
What does context precision measure in Lab 24?,Offline RAG baseline: context precision measures a core quality signal for RAG evaluation.,"[""Lab 24 covers context precision as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",context precision measures a core quality signal for RAG evaluation.,simple,0.865,0.826,0.73,0.745
What does context recall measure in Lab 24?,Offline RAG baseline: context recall measures a core quality signal for RAG evaluation.,"[""Lab 24 covers context recall as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",context recall measures a core quality signal for RAG evaluation.,simple,0.85,0.808,0.71,0.82
What does Cohen's kappa measure in Lab 24?,Offline RAG baseline: Cohen's kappa measures a core quality signal for RAG evaluation.,"[""Lab 24 covers Cohen's kappa as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",Cohen's kappa measures a core quality signal for RAG evaluation.,simple,0.835,0.88,0.69,0.795
What does position bias measure in Lab 24?,Offline RAG baseline: position bias measures a core quality signal for RAG evaluation.,"[""Lab 24 covers position bias as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",position bias measures a core quality signal for RAG evaluation.,simple,0.82,0.862,0.79,0.77
What does length bias measure in Lab 24?,Offline RAG baseline: length bias measures a core quality signal for RAG evaluation.,"[""Lab 24 covers length bias as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",length bias measures a core quality signal for RAG evaluation.,simple,0.91,0.844,0.77,0.745
What does PII redaction measure in Lab 24?,Offline RAG baseline: PII redaction measures a core quality signal for RAG evaluation.,"[""Lab 24 covers PII redaction as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",PII redaction measures a core quality signal for RAG evaluation.,simple,0.895,0.826,0.75,0.82
What does topic validation measure in Lab 24?,Offline RAG baseline: topic validation measures a core quality signal for RAG evaluation.,"[""Lab 24 covers topic validation as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",topic validation measures a core quality signal for RAG evaluation.,simple,0.88,0.808,0.73,0.795
What does adversarial defense measure in Lab 24?,Offline RAG baseline: adversarial defense measures a core quality signal for RAG evaluation.,"[""Lab 24 covers adversarial defense as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",adversarial defense measures a core quality signal for RAG evaluation.,simple,0.865,0.88,0.71,0.77
What does Llama Guard measure in Lab 24?,Offline RAG baseline: Llama Guard measures a core quality signal for RAG evaluation.,"[""Lab 24 covers Llama Guard as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",Llama Guard measures a core quality signal for RAG evaluation.,simple,0.85,0.862,0.69,0.745
What does P95 latency measure in Lab 24?,Offline RAG baseline: P95 latency measures a core quality signal for RAG evaluation.,"[""Lab 24 covers P95 latency as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",P95 latency measures a core quality signal for RAG evaluation.,simple,0.835,0.844,0.79,0.82
What does alert playbooks measure in Lab 24?,Offline RAG baseline: alert playbooks measures a core quality signal for RAG evaluation.,"[""Lab 24 covers alert playbooks as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",alert playbooks measures a core quality signal for RAG evaluation.,simple,0.82,0.826,0.77,0.795
What does audit logs measure in Lab 24?,Offline RAG baseline: audit logs measures a core quality signal for RAG evaluation.,"[""Lab 24 covers audit logs as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",audit logs measures a core quality signal for RAG evaluation.,simple,0.91,0.808,0.75,0.77
What does cost monitoring measure in Lab 24?,Offline RAG baseline: cost monitoring measures a core quality signal for RAG evaluation.,"[""Lab 24 covers cost monitoring as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",cost monitoring measures a core quality signal for RAG evaluation.,simple,0.895,0.88,0.73,0.745
What does synthetic test generation measure in Lab 24?,Offline RAG baseline: synthetic test generation measures a core quality signal for RAG evaluation.,"[""Lab 24 covers synthetic test generation as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",synthetic test generation measures a core quality signal for RAG evaluation.,simple,0.88,0.862,0.71,0.82
What does multi-hop retrieval measure in Lab 24?,Offline RAG baseline: multi-hop retrieval measures a core quality signal for RAG evaluation.,"[""Lab 24 covers multi-hop retrieval as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi-hop retrieval measures a core quality signal for RAG evaluation.,simple,0.865,0.844,0.69,0.795
What does hybrid search measure in Lab 24?,Offline RAG baseline: hybrid search measures a core quality signal for RAG evaluation.,"[""Lab 24 covers hybrid search as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",hybrid search measures a core quality signal for RAG evaluation.,simple,0.85,0.826,0.79,0.77
What does reranking measure in Lab 24?,Offline RAG baseline: reranking measures a core quality signal for RAG evaluation.,"[""Lab 24 covers reranking as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reranking measures a core quality signal for RAG evaluation.,simple,0.835,0.808,0.77,0.745
What does SLO thresholds measure in Lab 24?,Offline RAG baseline: SLO thresholds measures a core quality signal for RAG evaluation.,"[""Lab 24 covers SLO thresholds as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",SLO thresholds measures a core quality signal for RAG evaluation.,simple,0.82,0.88,0.75,0.82
What does false positive rate measure in Lab 24?,Offline RAG baseline: false positive rate measures a core quality signal for RAG evaluation.,"[""Lab 24 covers false positive rate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",false positive rate measures a core quality signal for RAG evaluation.,simple,0.91,0.862,0.73,0.795
What does refuse rate measure in Lab 24?,Offline RAG baseline: refuse rate measures a core quality signal for RAG evaluation.,"[""Lab 24 covers refuse rate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",refuse rate measures a core quality signal for RAG evaluation.,simple,0.895,0.844,0.71,0.77
