question_id,question,answer_a,answer_b,run1_winner,run1_reason,run2_winner,run2_reason,winner_after_swap
1,What does faithfulness measure in Lab 24?,Offline RAG baseline: faithfulness measures a core quality signal for RAG evaluation.,Offline RAG baseline: faithfulness measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
2,What does answer relevancy measure in Lab 24?,Offline RAG baseline: answer relevancy measures a core quality signal for RAG evaluation.,Offline RAG baseline: answer relevancy measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
3,What does context precision measure in Lab 24?,Offline RAG baseline: context precision measures a core quality signal for RAG evaluation.,Offline RAG baseline: context precision measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
4,What does context recall measure in Lab 24?,Offline RAG baseline: context recall measures a core quality signal for RAG evaluation.,Offline RAG baseline: context recall measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,tie,Swap check after mapping back to original labels.,tie
5,What does Cohen's kappa measure in Lab 24?,Offline RAG baseline: Cohen's kappa measures a core quality signal for RAG evaluation.,Offline RAG baseline: Cohen's kappa measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,A,A is shorter with no factual loss.,B,Swap check after mapping back to original labels.,tie
6,What does position bias measure in Lab 24?,Offline RAG baseline: position bias measures a core quality signal for RAG evaluation.,Offline RAG baseline: position bias measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
7,What does length bias measure in Lab 24?,Offline RAG baseline: length bias measures a core quality signal for RAG evaluation.,Offline RAG baseline: length bias measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
8,What does PII redaction measure in Lab 24?,Offline RAG baseline: PII redaction measures a core quality signal for RAG evaluation.,Offline RAG baseline: PII redaction measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,tie,Swap check after mapping back to original labels.,tie
9,What does topic validation measure in Lab 24?,Offline RAG baseline: topic validation measures a core quality signal for RAG evaluation.,Offline RAG baseline: topic validation measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
10,What does adversarial defense measure in Lab 24?,Offline RAG baseline: adversarial defense measures a core quality signal for RAG evaluation.,Offline RAG baseline: adversarial defense measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,A,A is shorter with no factual loss.,B,Swap check after mapping back to original labels.,tie
11,What does Llama Guard measure in Lab 24?,Offline RAG baseline: Llama Guard measures a core quality signal for RAG evaluation.,Offline RAG baseline: Llama Guard measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
12,What does P95 latency measure in Lab 24?,Offline RAG baseline: P95 latency measures a core quality signal for RAG evaluation.,Offline RAG baseline: P95 latency measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,tie,Swap check after mapping back to original labels.,tie
13,What does alert playbooks measure in Lab 24?,Offline RAG baseline: alert playbooks measures a core quality signal for RAG evaluation.,Offline RAG baseline: alert playbooks measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
14,What does audit logs measure in Lab 24?,Offline RAG baseline: audit logs measures a core quality signal for RAG evaluation.,Offline RAG baseline: audit logs measures a core quality signal for RAG evaluation. It also names the metric and cites the guardrail or evaluation layer affected.,B,B is more complete and still concise.,B,Swap check after mapping back to original labels.,B
