question,ground_truth,contexts,evolution_type
What does faithfulness measure in Lab 24?,faithfulness measures a core quality signal for RAG evaluation.,"[""Lab 24 covers faithfulness as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does answer relevancy measure in Lab 24?,answer relevancy measures a core quality signal for RAG evaluation.,"[""Lab 24 covers answer relevancy as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does context precision measure in Lab 24?,context precision measures a core quality signal for RAG evaluation.,"[""Lab 24 covers context precision as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does context recall measure in Lab 24?,context recall measures a core quality signal for RAG evaluation.,"[""Lab 24 covers context recall as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does Cohen's kappa measure in Lab 24?,Cohen's kappa measures a core quality signal for RAG evaluation.,"[""Lab 24 covers Cohen's kappa as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does position bias measure in Lab 24?,position bias measures a core quality signal for RAG evaluation.,"[""Lab 24 covers position bias as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does length bias measure in Lab 24?,length bias measures a core quality signal for RAG evaluation.,"[""Lab 24 covers length bias as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does PII redaction measure in Lab 24?,PII redaction measures a core quality signal for RAG evaluation.,"[""Lab 24 covers PII redaction as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does topic validation measure in Lab 24?,topic validation measures a core quality signal for RAG evaluation.,"[""Lab 24 covers topic validation as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does adversarial defense measure in Lab 24?,adversarial defense measures a core quality signal for RAG evaluation.,"[""Lab 24 covers adversarial defense as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does Llama Guard measure in Lab 24?,Llama Guard measures a core quality signal for RAG evaluation.,"[""Lab 24 covers Llama Guard as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does P95 latency measure in Lab 24?,P95 latency measures a core quality signal for RAG evaluation.,"[""Lab 24 covers P95 latency as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does alert playbooks measure in Lab 24?,alert playbooks measures a core quality signal for RAG evaluation.,"[""Lab 24 covers alert playbooks as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does audit logs measure in Lab 24?,audit logs measures a core quality signal for RAG evaluation.,"[""Lab 24 covers audit logs as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does cost monitoring measure in Lab 24?,cost monitoring measures a core quality signal for RAG evaluation.,"[""Lab 24 covers cost monitoring as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does synthetic test generation measure in Lab 24?,synthetic test generation measures a core quality signal for RAG evaluation.,"[""Lab 24 covers synthetic test generation as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does multi-hop retrieval measure in Lab 24?,multi-hop retrieval measures a core quality signal for RAG evaluation.,"[""Lab 24 covers multi-hop retrieval as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does hybrid search measure in Lab 24?,hybrid search measures a core quality signal for RAG evaluation.,"[""Lab 24 covers hybrid search as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does reranking measure in Lab 24?,reranking measures a core quality signal for RAG evaluation.,"[""Lab 24 covers reranking as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does SLO thresholds measure in Lab 24?,SLO thresholds measures a core quality signal for RAG evaluation.,"[""Lab 24 covers SLO thresholds as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does false positive rate measure in Lab 24?,false positive rate measures a core quality signal for RAG evaluation.,"[""Lab 24 covers false positive rate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does refuse rate measure in Lab 24?,refuse rate measures a core quality signal for RAG evaluation.,"[""Lab 24 covers refuse rate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does human calibration measure in Lab 24?,human calibration measures a core quality signal for RAG evaluation.,"[""Lab 24 covers human calibration as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does CI eval gate measure in Lab 24?,CI eval gate measures a core quality signal for RAG evaluation.,"[""Lab 24 covers CI eval gate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
What does failure clustering measure in Lab 24?,failure clustering measures a core quality signal for RAG evaluation.,"[""Lab 24 covers failure clustering as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",simple
Why should faithfulness be monitored together with guardrail latency?,faithfulness shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers faithfulness as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should answer relevancy be monitored together with guardrail latency?,answer relevancy shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers answer relevancy as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should context precision be monitored together with guardrail latency?,context precision shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers context precision as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should context recall be monitored together with guardrail latency?,context recall shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers context recall as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should Cohen's kappa be monitored together with guardrail latency?,Cohen's kappa shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers Cohen's kappa as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should position bias be monitored together with guardrail latency?,position bias shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers position bias as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should length bias be monitored together with guardrail latency?,length bias shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers length bias as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should PII redaction be monitored together with guardrail latency?,PII redaction shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers PII redaction as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should topic validation be monitored together with guardrail latency?,topic validation shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers topic validation as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should adversarial defense be monitored together with guardrail latency?,adversarial defense shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers adversarial defense as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should Llama Guard be monitored together with guardrail latency?,Llama Guard shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers Llama Guard as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should P95 latency be monitored together with guardrail latency?,P95 latency shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers P95 latency as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
Why should alert playbooks be monitored together with guardrail latency?,alert playbooks shows answer quality while latency shows production usability; both are needed for safe rollout.,"[""Lab 24 covers alert playbooks as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",reasoning
How do audit logs and the guardrail stack interact in the production blueprint?,"audit logs detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers audit logs as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do cost monitoring and the guardrail stack interact in the production blueprint?,"cost monitoring detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers cost monitoring as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do synthetic test generation and the guardrail stack interact in the production blueprint?,"synthetic test generation detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers synthetic test generation as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do multi-hop retrieval and the guardrail stack interact in the production blueprint?,"multi-hop retrieval detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers multi-hop retrieval as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do hybrid search and the guardrail stack interact in the production blueprint?,"hybrid search detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers hybrid search as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do reranking and the guardrail stack interact in the production blueprint?,"reranking detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers reranking as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do SLO thresholds and the guardrail stack interact in the production blueprint?,"SLO thresholds detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers SLO thresholds as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do false positive rate and the guardrail stack interact in the production blueprint?,"false positive rate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers false positive rate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do refuse rate and the guardrail stack interact in the production blueprint?,"refuse rate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers refuse rate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do human calibration and the guardrail stack interact in the production blueprint?,"human calibration detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers human calibration as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do CI eval gate and the guardrail stack interact in the production blueprint?,"CI eval gate detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers CI eval gate as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
How do failure clustering and the guardrail stack interact in the production blueprint?,"failure clustering detects quality regressions, while guardrails prevent unsafe or out-of-scope responses before users see them.","[""Lab 24 covers failure clustering as part of evaluation and guardrail readiness."", ""The blueprint requires SLOs, alert playbooks, cost analysis, and layered defenses.""]",multi_context
